ID,Qual Set,Average,Percent Error,Uncertainty,Our Code,Machine Code,Statement
137,0.034,0.358,0.03,0.657,,uncertainty,"The average of her trials is 2.09s, and the error is 0.020. Her prediction doesn&#39;t fall within the range of error."
138,0.157,0.171,0.033,0.65,,uncertainty,The lowest data point is higher than the predicted period which means the mean is above the predicted and by looking at the data it seems to be the predicted value will be more than at least 2 standard deviations. 
139,0.791,0.323,0.034,0.062,,qualset,"Although the predicted value is correct, their data comes close to it."
140,0.207,0.834,0.007,0.036,,average,"The average of the data is much higher than 2.01, so it does not match."
141,0.758,0.491,0.022,0.083,,qualset,It is close to 2.01 however it is not 2.01
142,0.039,0.897,0.021,0.043,,average,The average seems to be higher than their prediction
145,0.863,0.091,0.056,0.035,,qualset,The data is not accurate enough when compared to that measured by theory.
146,0.753,0.306,0.067,0.025,,qualset,there is a big difference with the data the research got and the number that was predicted by the student.
147,0.117,0.07,0.839,0.017,,percenterror,The difference between the accepted value and the tested value is over 10%
148,0.563,0.202,0.103,0.09,,qualset,The difference is reasonable big as the difference is around 0.1 seconds which is big considering we&#39;re only dealing with a time of 2 seconds.
149,0.934,0.396,0.012,0.038,,qualset,2.01 seconds is not close enough to the values she got while performing the trials
150,0.852,0.137,0.047,0.034,,qualset,all of the results are larger than expected value
151,0.223,0.345,0.1,0.223,,average,the Time it took is not the close to the predicted value of period&#39;
153,0.705,0.084,0.055,0.19,,qualset,Her error seems to be systematic which means there may be some slight mistake or real-life physics effect that changed her measure a bit but it still works
154,0.774,0.082,0.017,0.409,,qualset,"I don&#39;t like how number one keeps on saying I&#39;m wrong. The data doesn&#39;t agree with the  prediction, because all of the results yield a greater period than predicted(though not by much). I&#39;d be able to say this with more certainty with more data points. This was likely due to air resistance, and maybe a few other tiny variables. The student might want to change her prediction based on these variables"
155,0.779,0.05,0.027,0.241,,qualset,"There is definitely a systematic error in the procedure of the experiment, as neither the maximum or the minimum is within the expected value (the expected value is outside of the range of the data collected)."
156,0.1,0.699,0.039,0.077,,average,the difference in period was 2.01 to 2.276 average to too great to say that the data matches the prediction.
157,0.614,0.328,0.037,0.396,,qualset,2.01 is an outlier.
159,0.54,0.231,0.065,0.285,,qualset,it&#39;s close enough
161,0.091,0.047,0.042,0.941,,uncertainty,"The mean is 2.2, and with small deviation that likely does not cover the prediction of 2.01 with in the standard error. "
162,0.15,0.575,0.026,0.311,,average,Since the T averages are all above 2.01 the mean of them can&#39;t equal that
163,0.53,0.097,0.064,0.197,,qualset,I accepted the data because the error is very small. Its also a physical phenomenon so there is a lot of factors that can explain the slight difference in the observed values.
165,0.877,0.208,0.021,0.046,,qualset,"This data is consistently off of the prediction. Considering that the time being measure is around 2 seconds, being off by .25ish seconds is quite a large amount. Therefore, I believe this data does not agree with the prediction."
166,0.055,0.854,0.028,0.046,,average,"The average of the data above is 2.096, which is greater than 2.01"
