Student ID,Alex code,Eric code,Joseph code,Sean code,Katie code,Jenny code,,Agreement,Agreed answers,Resolved answers,2nd group resolved answers,final resolution,Comments,Statement,,,
12,none,None,None,None,None,none,,TRUE,none,none,none,none,,q,,,
13,Qual set,Qual set,Qual Set,Qual Set,Qual Set,qual set,,TRUE,Qual set,Qual set,Qual set,Qual set,,only one value was close to the value expected and the rest of the values were systematically higher than the desired value.,,,
14,average,Average,Uncertainty,Average,Average,uncertainty,,FALSE,Resolve,average,average,average,Student noticed spread but average was the reason for their answer,"The data does not agree because, although there might be some uncertainty overlap between the mean of the experimental data and the computed period, the mean of the experimental data is higher than the computed period by what appears to be a significant amount. ",,,
15,average,Average,Average,Average,Average,average,,TRUE,average,average,average,average,,If you look at the average of the 5 trials the numerical value is similar to the 2.01 seconds they were claiming their data to. ,,,
20,Qual set,Qual set,Qual Set,Qual Set,Qual Set,qual set,,TRUE,Qual set,Qual set,Qual set,Qual set,,all results are above 2.01,,,
28,uncertainty,Uncertainty,Uncertainty,Other,Uncertainty,uncertainty,,FALSE,Resolve,uncertainty,uncertainty,uncertainty,shared vocabulary issue (t'),"The t prime score is just above 3 (taking a standard error of 0 for the prediction), so the data likely does not agree",,,
30,uncertainty,Uncertainty,Uncertainty,Uncertainty,Uncertainty,uncertainty,,TRUE,uncertainty,uncertainty,uncertainty,uncertainty,,"The experimental value of T, including uncertainty, is 2.096 +- 0.0201 sec. 2.01 sec is not within this uncertainty",,,
37,average,Uncertainty,Uncertainty,Average,Uncertainty,uncertainty,,FALSE,Resolve,uncertainty,uncertainty,uncertainty,,The expected time doesn&#39;t fall within a rough calculation of the mean and standard deviation.,,,
39,Qual set,Uncertainty,Qual Set,Qual Set,Uncertainty,qual set,,FALSE,Resolve,dual,dual,dual,qual set/uncertainty,"All of the measurements are higher than the calculation, and there are few that is way higher which leads to the result of having a t&#39; value larger than 3. Thus, the data does not agree with the prediction.",,,
46,other,Qual set,Qual Set,Qual Set,Qual Set,qual set,,FALSE,Resolve,qual set,qual set,qual set,,"The data was precise, but not accurate. This does not support the expectation.",,,
57,uncertainty,Percent error,Uncertainty,Uncertainty,uncertainty,uncertainty,,FALSE,Resolve,uncertainty,uncertainty,uncertainty,,"mean = 2.096 std dev = 0.0428 The expected value is more than two standard deviations from her mean. This has less than 4.5% chance of happening randomly, which means her results either do not agree or are very inacurate.",,,
59,Qual set,Qual set,Qual Set,Qual Set,qual Set,qual set,,TRUE,Qual set,Qual set,Qual set,Qual set,,All of the values were greater than the predicted value.,,,
63,Qual set,Qual set,Qual Set,Qual Set,qual Set,qual set,,TRUE,Qual set,Qual set,Qual set,Qual set,,there were 5 trials and not one of them were below 2.04 which is higher than what the student expected.,,,
68,Qual set,Average,Qual Set,Qual Set,qual Set,qual set,,FALSE,Resolve,qual set,qual set,qual set,average mentioned seems to be a consequence of qual set observation,"The student&#39;s prediction is lower than all of the measured results - it is never higher, which means even the average of the measured data would be significantly different from the prediction.",,,
77,percent error,Percent error,Percent Error,Percent Error,Percent error,percent error,,TRUE,percent error,percent error,percent error,percent error,,"The data is within 10 percent of the expected value, so it can be seen to agree with the expectation",,,
78,none,None,None,None,None,none,,TRUE,none,none,none,none,,a,,,
87,average,Average,Average,Average,Average,average,,TRUE,average,average,average,average,,The average does line up with 2.01 ,,,
89,qual set,Qual set,Qual Set,Qual Set,Qual Set,qual set,,TRUE,qual set,qual set,qual set,qual set,,"2.01 seconds is lower than all of the times recorded in the trials. Thus, the data does not agree very much their expectation.",,,
91,other,Average,Qual Set,Other,Other,average,,FALSE,Resolve,average,average,average,hard; we'll expect the computer to have a hard time?,The data does not agree because his data shows that the time is a median of a longer time.,,,
96,qual set,Qual set,Qual Set,Qual Set,qual Set,qual set,,TRUE,qual set,qual set,qual set,qual set,,"First, the data are precise but not accurate. There is only one result close to the expectation.",,,
101,uncertainty,Uncertainty,Uncertainty,Uncertainty,dual,percent error,,FALSE,Resolve,dual,dual,dual,"Uncertainty, percent error",The data is too far from the predicted to consider the same. its 13% over the predicted value. Standard error would be .019 which means furhtest deviation is 2.023. which is not like average 2.276 experimental.,,,
104,average,Average,Average,Average,average,average,,TRUE,average,average,average,average,,"The average of the results is about 2.10s which is a whole .9 seconds higher than the predicted 2.01s. In the context of seconds, .9 is a large amount to be off by especially since the period is already so short.",,,
